time;position
1;1
2;2
3;3
4;4
5;5
6;6
7;7
8;8
9;9
10;10
11;11
12;12
13;13
14;14
15;15
16;16
17;17
18;18
19;19
20;20
21;21
22;22
23;23
24;24
25;25
26;26
27;27
28;28
29;29
30;30
31;31
32;32
33;33
34;34
35;35
36;36
37;37
38;38
39;39
40;40
41;41
42;42
43;43
44;44
45;45
46;46
47;47
48;48
49;49
50;50
51;51
52;52
53;53
54;54
55;55
56;56
57;57
58;58
59;59
60;60
61;61
62;62
63;63
64;64
65;65
66;66
67;67
68;68
69;69
70;70
71;71
72;72
73;73
74;74
75;75
76;76
77;77
78;78
79;79
80;80
81;81
82;82
83;83
84;84
85;85
86;86
87;87
88;88
89;89
90;90
91;91
92;92
93;93
94;94
95;95
96;96
97;97
98;98
99;99
100;100
101;101
102;102
103;103
104;104
105;105
106;106
107;107
108;108
109;109
110;110
111;111
112;112
113;113
114;114
115;115
116;116
117;117
118;118
119;119
120;120
121;121
122;122
123;123
124;124
125;125
126;126
127;127
128;128
129;129
130;130
131;131
132;132
133;133
134;134
135;135
136;136
137;137
138;138
139;139
140;140
141;141
142;142
143;143
144;144
145;145
146;146
147;147
148;148
149;149
150;150
151;151
152;152
153;153
154;154
155;155
156;156
157;157
158;158
159;159
160;160
161;161
162;162
163;163
164;164
165;165
166;166
167;167
168;168
169;169
170;170
171;171
172;172
173;173
174;174
175;175
176;176
177;177
178;178
179;179
180;180
181;1
182;2
183;3
184;4
185;5
186;6
187;7
188;8
189;9
190;10
191;11
192;12
193;13
194;14
195;15
196;16
197;17
198;18
199;19
200;20
201;21
202;22
203;23
204;24
205;25
206;26
207;27
208;28
209;29
210;30
211;31
212;32
213;33
214;34
215;35
216;36
217;37
218;38
219;39
220;40
221;41
222;42
223;43
224;44
225;45
226;46
227;47
228;48
229;49
230;50
231;51
232;52
233;53
234;54
235;55
236;56
237;57
238;58
239;59
240;60
241;61
242;62
243;63
244;64
245;65
246;66
247;67
248;68
249;69
250;70
251;71
252;72
253;73
254;74
255;75
256;76
257;77
258;78
259;79
260;80
261;81
262;82
263;83
264;84
265;85
266;86
267;87
268;88
269;89
270;90
271;91
272;92
273;93
274;94
275;95
276;96
277;97
278;98
279;99
280;100
281;101
282;102
283;103
284;104
285;105
286;106
287;107
288;108
289;109
290;110
291;111
292;112
293;113
294;114
295;115
296;116
297;117
298;118
299;119
300;120
301;121
302;122
303;123
304;124
305;125
306;126
307;127
308;128
309;129
310;130
311;131
312;132
313;133
314;134
315;135
316;136
317;137
318;138
319;139
320;140
321;141
322;142
323;143
324;144
325;145
326;146
327;147
328;148
329;149
330;150
331;151
332;152
333;153
334;154
335;155
336;156
337;157
338;158
339;159
340;160
341;161
342;162
343;163
344;164
345;165
346;166
347;167
348;168
349;169
350;170
351;171
352;172
353;173
354;174
355;175
356;176
357;177
358;178
359;179
360;180
361;1
362;2
363;3
364;4
365;5
366;6
367;7
368;8
369;9
370;10
371;11
372;12
373;13
374;14
375;15
376;16
377;17
378;18
379;19
380;20
381;21
382;22
383;23
384;24
385;25
386;26
387;27
388;28
389;29
390;30
391;31
392;32
393;33
394;34
395;35
396;36
397;37
398;38
399;39
400;40
401;41
402;42
403;43
404;44
405;45
406;46
407;47
408;48
409;49
410;50
411;51
412;52
413;53
414;54
415;55
416;56
417;57
418;58
419;59
420;60
421;61
422;62
423;63
424;64
425;65
426;66
427;67
428;68
429;69
430;70
431;71
432;72
433;73
434;74
435;75
436;76
437;77
438;78
439;79
440;80
441;81
442;82
443;83
444;84
445;85
446;86
447;87
448;88
449;89
450;90
451;91
452;92
453;93
454;94
455;95
456;96
457;97
458;98
459;99
460;100
461;101
462;102
463;103
464;104
465;105
466;106
467;107
468;108
469;109
470;110
471;111
472;112
473;113
474;114
475;115
476;116
477;117
478;118
479;119
480;120
481;121
482;122
483;123
484;124
485;125
486;126
487;127
488;128
489;129
490;130
491;131
492;132
493;133
494;134
495;135
496;136
497;137
498;138
499;139
500;140
501;141
502;142
503;143
504;144
505;145
506;146
507;147
508;148
509;149
510;150
511;151
512;152
513;153
514;154
515;155
516;156
517;157
518;158
519;159
520;160
521;161
522;162
523;163
524;164
525;165
526;166
527;167
528;168
529;169
530;170
531;171
532;172
533;173
534;174
535;175
536;176
537;177
538;178
539;179
540;180
541;1
542;2
543;3
544;4
545;5
546;6
547;7
548;8
549;9
550;10
551;11
552;12
553;13
554;14
555;15
556;16
557;17
558;18
559;19
560;20
561;21
562;22
563;23
564;24
565;25
